Country_Type,T,p,delta_crit
Type 1,3,0.4,1.0
Type 1,3,0.45,1.0
Type 1,3,0.5,1.0
Type 1,3,0.55,1.0
Type 1,3,0.6,1.0
Type 1,3,0.65,0.902
Type 1,3,0.7,0.797
Type 1,3,0.75,0.718
Type 1,3,0.8,0.655
Type 1,3,0.85,0.604
Type 1,3,0.9,0.561
Type 1,3,0.95,0.526
Type 1,3,1.0,0.494
Type 1,5,0.4,1.0
Type 1,5,0.45,1.0
Type 1,5,0.5,1.0
Type 1,5,0.55,1.0
Type 1,5,0.6,0.868
Type 1,5,0.65,0.771
Type 1,5,0.7,0.7
Type 1,5,0.75,0.643
Type 1,5,0.8,0.596
Type 1,5,0.85,0.557
Type 1,5,0.9,0.523
Type 1,5,0.95,0.494
Type 1,5,1.0,0.467
Type 1,10,0.4,1.0
Type 1,10,0.45,1.0
Type 1,10,0.5,1.0
Type 1,10,0.55,0.878
Type 1,10,0.6,0.786
Type 1,10,0.65,0.718
Type 1,10,0.7,0.663
Type 1,10,0.75,0.618
Type 1,10,0.8,0.578
Type 1,10,0.85,0.544
Type 1,10,0.9,0.514
Type 1,10,0.95,0.486
Type 1,10,1.0,0.462
Type 2,3,0.4,1.0
Type 2,3,0.45,1.0
Type 2,3,0.5,1.0
Type 2,3,0.55,0.943
Type 2,3,0.6,0.811
Type 2,3,0.65,0.718
Type 2,3,0.7,0.647
Type 2,3,0.75,0.59
Type 2,3,0.8,0.545
Type 2,3,0.85,0.506
Type 2,3,0.9,0.472
Type 2,3,0.95,0.444
Type 2,3,1.0,0.419
Type 2,5,0.4,1.0
Type 2,5,0.45,1.0
Type 2,5,0.5,0.927
Type 2,5,0.55,0.798
Type 2,5,0.6,0.71
Type 2,5,0.65,0.643
Type 2,5,0.7,0.59
Type 2,5,0.75,0.547
Type 2,5,0.8,0.509
Type 2,5,0.85,0.477
Type 2,5,0.9,0.45
Type 2,5,0.95,0.425
Type 2,5,1.0,0.403
Type 2,10,0.4,1.0
Type 2,10,0.45,0.959
Type 2,10,0.5,0.824
Type 2,10,0.55,0.738
Type 2,10,0.6,0.671
Type 2,10,0.65,0.618
Type 2,10,0.7,0.573
Type 2,10,0.75,0.535
Type 2,10,0.8,0.501
Type 2,10,0.85,0.471
Type 2,10,0.9,0.445
Type 2,10,0.95,0.422
Type 2,10,1.0,0.4
Type 3,3,0.4,1.0
Type 3,3,0.45,1.0
Type 3,3,0.5,1.0
Type 3,3,0.55,0.842
Type 3,3,0.6,0.734
Type 3,3,0.65,0.655
Type 3,3,0.7,0.594
Type 3,3,0.75,0.545
Type 3,3,0.8,0.503
Type 3,3,0.85,0.468
Type 3,3,0.9,0.439
Type 3,3,0.95,0.413
Type 3,3,1.0,0.39
Type 3,5,0.4,1.0
Type 3,5,0.45,1.0
Type 3,5,0.5,0.835
Type 3,5,0.55,0.731
Type 3,5,0.6,0.654
Type 3,5,0.65,0.596
Type 3,5,0.7,0.549
Type 3,5,0.75,0.509
Type 3,5,0.8,0.475
Type 3,5,0.85,0.446
Type 3,5,0.9,0.421
Type 3,5,0.95,0.398
Type 3,5,1.0,0.377
Type 3,10,0.4,1.0
Type 3,10,0.45,0.869
Type 3,10,0.5,0.763
Type 3,10,0.55,0.687
Type 3,10,0.6,0.628
Type 3,10,0.65,0.578
Type 3,10,0.7,0.537
Type 3,10,0.75,0.501
Type 3,10,0.8,0.469
Type 3,10,0.85,0.442
Type 3,10,0.9,0.417
Type 3,10,0.95,0.395
Type 3,10,1.0,0.375
Type 4,3,0.4,1.0
Type 4,3,0.45,0.976
Type 4,3,0.5,0.811
Type 4,3,0.55,0.702
Type 4,3,0.6,0.623
Type 4,3,0.65,0.561
Type 4,3,0.7,0.513
Type 4,3,0.75,0.472
Type 4,3,0.8,0.439
Type 4,3,0.85,0.41
Type 4,3,0.9,0.384
Type 4,3,0.95,0.362
Type 4,3,1.0,0.343
Type 4,5,0.4,1.0
Type 4,5,0.45,0.82
Type 4,5,0.5,0.71
Type 4,5,0.55,0.632
Type 4,5,0.6,0.571
Type 4,5,0.65,0.523
Type 4,5,0.7,0.483
Type 4,5,0.75,0.45
Type 4,5,0.8,0.421
Type 4,5,0.85,0.395
Type 4,5,0.9,0.372
Type 4,5,0.95,0.353
Type 4,5,1.0,0.335
Type 4,10,0.4,0.869
Type 4,10,0.45,0.752
Type 4,10,0.5,0.671
Type 4,10,0.55,0.608
Type 4,10,0.6,0.556
Type 4,10,0.65,0.514
Type 4,10,0.7,0.477
Type 4,10,0.75,0.445
Type 4,10,0.8,0.417
Type 4,10,0.85,0.393
Type 4,10,0.9,0.371
Type 4,10,0.95,0.352
Type 4,10,1.0,0.334
